geral; gerador; descriminador 
0.2109; 0.8630; 1.5246 
0.2395; 0.7289; 1.6277 
0.2582; 0.7905; 1.4537 
0.2344; 0.8382; 1.4210 
0.2289; 0.8421; 1.4355 
0.2238; 0.8187; 1.4679 
0.2415; 0.9020; 1.5039 
0.2469; 0.8898; 1.5212 
0.2534; 0.8514; 1.5419 
0.2496; 0.8549; 1.5353 
0.2378; 0.8431; 1.5310 
0.2599; 0.8222; 1.5151 
0.2668; 0.8225; 1.5073 
0.2577; 0.8186; 1.4990 
0.2525; 0.8633; 1.5189 
0.2481; 0.8670; 1.5366 
0.2524; 0.8701; 1.5374 
0.2417; 0.9052; 1.5176 
0.2441; 0.9116; 1.5160 
0.2433; 0.9108; 1.5316 
0.2430; 0.9101; 1.5378 
0.2402; 0.9096; 1.5467 
0.2430; 0.9132; 1.5448 
0.2434; 0.9340; 1.5511 
0.2476; 0.9260; 1.5466 
0.2473; 0.9204; 1.5516 
0.2470; 0.9109; 1.5474 
0.2439; 0.8979; 1.5476 
0.2412; 0.8909; 1.5546 
0.2435; 0.9001; 1.5508 
0.2399; 0.8958; 1.5473 
0.2365; 0.9010; 1.5513 
0.2345; 0.9015; 1.5537 
0.2373; 0.9049; 1.5478 
0.2402; 0.9037; 1.5497 
0.2361; 0.9258; 1.5502 
0.2356; 0.9326; 1.5557 
0.2377; 0.9252; 1.5589 
0.2379; 0.9286; 1.5558 
0.2356; 0.9263; 1.5539 
0.2371; 0.9253; 1.5464 
0.2417; 0.9311; 1.5525 
0.2411; 0.9338; 1.5480 
0.2424; 0.9325; 1.5480 
0.2421; 0.9253; 1.5466 
0.2417; 0.9236; 1.5521 
0.2427; 0.9211; 1.5536 
0.2476; 0.9233; 1.5504 
0.2453; 0.9231; 1.5580 
0.2438; 0.9226; 1.5632 
0.2272; 0.9201; 1.5082 
0.2251; 0.9188; 1.5245 
0.2585; 0.9179; 1.5771 
0.2074; 0.9124; 1.5382 
0.2269; 0.9137; 1.5276 
0.2167; 0.9110; 1.5300 
0.2177; 0.9060; 1.5515 
0.2090; 0.9036; 1.5412 
0.2135; 0.9011; 1.5395 
0.2218; 0.9000; 1.5118 
0.2218; 0.9042; 1.5134 
0.2275; 0.9088; 1.4966 
0.2311; 0.9111; 1.4971 
0.2294; 0.9119; 1.4879 
